181-0991-1_LHL_S1_L001	181-0991-3_LHL_S2_L001	SKM_0923-1_RHL_S5_L001	SKM_0923-3_RHL_S6_L001	WT62_0987-3_RHL_S9_L001	WT62_0987-4_RHL_S10_L001	212-4281_E62SKM_RHL_Emb1_S1	212-4281_E62SKM_RHL_Emb4_S2	6132-1_Right_Gastroc_S15	6132-2_Left_Sol_S16	6132-3_Left_Sol_S17	6132-3_Right_Gastroc_S18
ENSSSCG00000000605	3	0	4	1	2	2	4	5	9	4	2	4
ENSSSCG00000000607	20	28	37	60	55	51	164	179	593	342	481	388
ENSSSCG00000000610	0	3	2	3	0	0	16	4	3	2	10	5
ENSSSCG00000000611	2794	2999	4356	4449	3940	3667	4681	3812	4375	4661	4851	4467
ENSSSCG00000000612	1627	1747	6078	5448	2082	2318	5347	4189	4760	4751	5252	4302
ENSSSCG00000000614	12	7	16	29	6	5	10	5	25	17	29	16
ENSSSCG00000000619	367	412	1000	1011	403	375	929	884	577	612	758	522
ENSSSCG00000000623	64	116	5	7	40	49	14	16	26	31	25	21
ENSSSCG00000000625	1609	1434	4310	4299	2532	2904	4182	3686	5128	5411	5080	4564
ENSSSCG00000000629	0	1	12	19	3	6	18	23	25	28	29	26
ENSSSCG00000000631	0	0	0	0	0	0	0	0	1	1	1	1
ENSSSCG00000000633	3548	3474	1713	1812	22844	26434	3390	2439	21696	27658	19489	28432
ENSSSCG00000000634	29	52	87	73	23	15	82	74	30	41	57	41
ENSSSCG00000000635	871	902	1058	1042	626	655	1773	1253	624	722	622	646
ENSSSCG00000000636	0	0	2	6	4	4	2	5	43	14	29	23
ENSSSCG00000000638	0	0	0	0	0	0	2	1	0	0	0	0
ENSSSCG00000000640	0	0	0	0	0	0	0	3	2	2	5	1
ENSSSCG00000000642	1	0	0	0	0	2	2	4	5	2	5	6
ENSSSCG00000000645	1382	1718	2922	2964	1597	1632	3752	3452	1862	2196	2003	1802
ENSSSCG00000000647	0	1	9	7	15	14	796	45	37	94	74	37
ENSSSCG00000000648	2	4	5	2	4	6	23	33	37	14	29	31
ENSSSCG00000000650	0	0	2	2	8	8	6	16	30	19	26	32
ENSSSCG00000000651	0	0	1	4	5	4	3	3	21	8	11	21
ENSSSCG00000000653	0	0	7	3	0	2	5	23	8	2	6	6
ENSSSCG00000000656	16	10	47	63	39	45	111	166	159	117	160	190
ENSSSCG00000000657	43	42	160	143	224	224	471	942	1138	830	805	1073
ENSSSCG00000000659	1	0	0	1	0	0	3	6	7	2	1	1
ENSSSCG00000000660	47	67	105	76	36	29	234	88	131	190	269	160
ENSSSCG00000000661	1315	1444	2696	2596	2129	1833	3080	3019	1918	2244	2404	2036
ENSSSCG00000000663	0	0	0	0	0	0	1	5	3	1	4	5
ENSSSCG00000000664	1522	1733	2059	748	11	13	888	55	53	35	46	59
ENSSSCG00000000665	431	518	1362	1404	436	567	3210	2750	1958	2028	2169	1736
ENSSSCG00000000667	0	0	0	1	1	0	1	6	6	6	7	5
ENSSSCG00000000668	6	2	7	13	3	2	18	13	51	39	39	41
ENSSSCG00000000669	0	0	0	0	0	0	0	0	0	0	0	1
ENSSSCG00000000672	1886	1786	3288	4434	5149	4268	4054	5239	2267	4398	4025	2659
ENSSSCG00000000679	0	0	4	3	1	2	5	12	10	2	8	5
ENSSSCG00000000680	108	120	127	149	95	99	33	33	72	46	54	63
ENSSSCG00000000681	1265	965	3119	4008	1937	1903	3743	3983	1878	2585	2199	1906
ENSSSCG00000000682	31	30	3	11	14	30	144	133	252	206	268	228
ENSSSCG00000000683	710	888	1072	1094	753	584	1483	1189	526	658	665	585
ENSSSCG00000000684	2087	2345	3652	3457	3104	2453	4684	3820	2755	3121	3151	2783
ENSSSCG00000000685	11146	12268	10034	10944	14111	14025	16565	12215	16782	17153	13450	18730
ENSSSCG00000000687	25	25	27	26	99	47	206	209	176	155	277	170
ENSSSCG00000000688	43	53	88	88	34	24	46	31	6	20	9	15
ENSSSCG00000000690	3810	4524	10376	9343	4789	4141	7878	6684	3489	4519	3992	3977
ENSSSCG00000000691	543	695	1223	1131	1534	1359	1800	1449	1669	1757	1747	1892
ENSSSCG00000000692	102	63	231	518	6	10	83	34	2	9	6	0
ENSSSCG00000000693	1925	2157	3261	3327	2319	2193	4419	3778	3654	3207	3889	3227
ENSSSCG00000000694	43742	51458	46610	50171	113041	117298	67027	44382	157683	157511	119682	164018
ENSSSCG00000000695	197	161	624	703	753	872	1056	1317	1729	1748	1602	1736
ENSSSCG00000000696	1297	1345	1878	1830	1679	1718	2363	2035	1979	1934	1983	1809
ENSSSCG00000000697	9260	8604	12688	12565	9487	10171	18934	16514	13692	14558	17501	12145
ENSSSCG00000000699	18	18	60	89	33	31	84	53	27	34	24	28
ENSSSCG00000000700	24	17	80	93	26	57	182	193	104	75	118	83
ENSSSCG00000000702	845	943	2397	2398	1900	1660	3395	3382	2532	2737	2923	2758
ENSSSCG00000000703	4	10	23	45	8	13	79	71	59	49	60	61
ENSSSCG00000000704	342	331	1222	1295	569	556	1551	1291	755	877	967	829
ENSSSCG00000000706	713	775	2108	1953	1768	1644	2914	2992	1764	1823	1816	1893
ENSSSCG00000000707	129	325	500	311	186	122	222	174	317	336	417	272
ENSSSCG00000000708	1438	1465	3693	3440	2215	2126	4766	5605	2441	2679	3054	2560
ENSSSCG00000000709	78	197	355	264	19	10	62	58	36	40	42	64
ENSSSCG00000000712	451	354	1941	1659	589	728	4753	6245	1479	1747	2416	1223
ENSSSCG00000000716	0	1	1	30	2	0	5	1	1	1	0	0
ENSSSCG00000000718	0	1	3	10	3	6	9	15	50	38	29	29
ENSSSCG00000000719	1808	1958	1959	2021	2614	2221	2674	2050	3548	3132	3368	3455
ENSSSCG00000000720	59	65	171	224	84	117	381	357	376	312	324	271
ENSSSCG00000000721	17	16	28	50	31	27	134	129	199	116	190	171
ENSSSCG00000000722	646	661	986	922	524	606	1159	887	675	597	516	607
ENSSSCG00000000723	937	998	1475	1504	1111	1082	2339	2109	2366	2163	2335	2017
ENSSSCG00000000728	257	327	649	602	386	367	919	849	520	566	703	539
ENSSSCG00000000730	53	40	121	136	121	100	73	112	105	208	316	86
ENSSSCG00000000732	37	79	158	135	40	27	103	128	33	31	72	25
ENSSSCG00000000734	868	879	2727	2515	1097	941	3386	3038	2167	2747	2897	2636
ENSSSCG00000000735	9547	9857	10196	9388	16357	13688	7082	7397	9956	15719	12364	11921
ENSSSCG00000000736	769	1000	654	529	2838	2797	493	377	2738	3203	3398	2648
ENSSSCG00000000737	860	894	2505	2488	1181	1311	3943	3143	1158	1379	1356	1103
ENSSSCG00000000738	740	912	1934	1728	931	788	2074	1639	797	837	804	816
ENSSSCG00000000739	479	543	1058	982	637	526	1148	883	473	547	564	483
ENSSSCG00000000740	4	6	12	23	5	5	31	25	32	26	31	34
ENSSSCG00000000741	18	22	72	50	138	132	134	229	377	348	350	364
ENSSSCG00000000742	164	160	317	320	330	328	608	644	664	569	647	566
ENSSSCG00000000743	3074	3437	4179	3739	4074	3270	5151	4227	3437	3836	3546	3592
ENSSSCG00000000744	0	1	0	0	2	0	9	5	7	2	1	3
ENSSSCG00000000745	111	200	297	342	449	445	799	828	910	966	1057	945
ENSSSCG00000000746	360	452	947	783	1092	970	1258	1061	758	1166	888	952
ENSSSCG00000000748	1	4	19	17	2	0	6	11	46	7	14	28
ENSSSCG00000000749	1	5	6	4	36	36	8	11	1602	1094	1147	1665
ENSSSCG00000000751	138	189	370	423	231	198	762	767	631	560	683	626
ENSSSCG00000000753	4777	4986	10192	8321	7378	8624	14091	13031	10664	8962	11256	9234
ENSSSCG00000000754	119	176	322	296	251	278	668	563	698	578	638	632
ENSSSCG00000000755	3222	3002	6156	6028	2693	2797	6659	5776	3461	3449	4172	3320
ENSSSCG00000000757	1333	1396	2341	2267	1793	1678	2842	2930	2038	2244	2223	2002
ENSSSCG00000000759	68	144	393	440	227	199	319	493	532	457	396	628
ENSSSCG00000000760	29	19	678	829	16	35	109	125	37	135	106	78
ENSSSCG00000000764	85	90	250	270	256	221	292	278	290	320	253	305
ENSSSCG00000000765	481	469	1024	1008	1005	846	1098	1333	833	1004	1102	927
ENSSSCG00000000766	296	393	517	379	1089	1023	395	422	1998	1745	1770	1958
ENSSSCG00000000769	639	816	1428	1405	871	938	2175	1840	1307	1222	1253	1172
ENSSSCG00000000770	704	1048	2529	2229	1471	1625	4349	3329	4544	2858	3691	3588
ENSSSCG00000000774	62	64	154	226	69	76	396	285	209	206	177	176
ENSSSCG00000000777	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000000778	107	41	227	348	107	100	575	403	250	219	289	292
ENSSSCG00000000779	85	130	240	379	428	350	385	410	1179	1197	1298	1127
ENSSSCG00000000781	4	4	15	24	12	14	52	46	68	81	134	66
ENSSSCG00000000782	0	3	0	1	0	0	0	0	3	1	1	1
ENSSSCG00000000783	107	73	412	342	135	160	614	467	287	229	275	305
ENSSSCG00000000784	385	330	1148	1136	603	852	2108	2244	2229	2363	2166	2387
ENSSSCG00000000789	616	367	3189	2951	194	171	1959	1445	147	289	309	114
ENSSSCG00000000791	320	245	1128	1132	1114	729	353	391	539	816	1023	608
ENSSSCG00000000793	824	812	1681	1819	1457	1804	2719	2330	2374	2422	2104	2341
ENSSSCG00000000795	746	841	749	739	2241	2514	307	260	12508	10273	9831	12580
ENSSSCG00000000798	844	652	1616	1983	812	900	2881	2294	1273	1303	1195	1357
ENSSSCG00000000799	235	186	434	540	222	312	1160	892	485	438	404	398
ENSSSCG00000000800	239	243	672	641	304	368	1101	977	358	434	369	383
ENSSSCG00000000801	153	143	273	396	132	155	259	248	220	273	312	245
ENSSSCG00000000802	386	290	2816	2969	18	11	2669	1777	10	45	49	23
ENSSSCG00000000804	2182	2477	4548	4856	4775	6198	8140	7339	8396	7742	8163	7663
ENSSSCG00000000806	1740	1757	3327	3200	3158	3502	5405	4324	6538	6011	5465	6236
ENSSSCG00000000807	338	358	458	388	887	627	766	492	1298	1034	982	1245
ENSSSCG00000000808	3755	4264	9413	9300	4759	5863	9772	7853	8346	8386	8345	8855
ENSSSCG00000000810	153	159	603	566	449	311	764	565	436	439	417	528
ENSSSCG00000000811	3	10	42	25	19	21	84	81	100	75	119	143
ENSSSCG00000000816	279	390	624	580	400	460	970	847	754	709	688	736
ENSSSCG00000000820	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000000837	166	127	622	1092	98	103	681	644	221	141	219	166
ENSSSCG00000000838	272	197	608	807	412	567	1684	1456	752	684	663	721
ENSSSCG00000000839	2620	1989	6815	7120	3081	3414	9570	8202	5538	4935	6004	4403
ENSSSCG00000000840	1046	954	2359	2383	1984	2444	4434	3859	4269	3971	3553	4089
ENSSSCG00000000841	1009	1029	1654	1690	1363	1565	2951	2463	2765	2957	2752	2795
ENSSSCG00000000842	791	975	1783	1891	1521	1736	3405	3244	3218	2890	3235	3190
ENSSSCG00000000843	1041	1018	1667	1645	974	929	2643	1851	1076	1208	1239	955
ENSSSCG00000000844	629	734	1800	1979	945	1138	3233	2833	1811	1864	1627	1959
ENSSSCG00000000846	492	615	1526	1608	1355	1462	2606	2416	3879	3488	3617	3616
ENSSSCG00000000847	911	902	1679	1758	1273	1308	2536	1985	1541	1588	1489	1541
ENSSSCG00000000848	1195	1326	4631	4466	2693	2410	7443	7492	3540	3483	2800	3580
ENSSSCG00000000849	26280	23239	30832	35450	18238	18138	38824	32455	20942	22015	21824	19614
ENSSSCG00000000853	280	346	500	413	1049	966	570	503	1167	843	1121	973
ENSSSCG00000000854	79	114	562	324	32	32	331	538	117	104	114	76
ENSSSCG00000000856	8	11	8	22	39	22	39	34	101	81	96	88
ENSSSCG00000000857	115	67	260	411	201	172	1144	1004	835	632	658	873
ENSSSCG00000000858	0	3	7	12	0	0	11	12	15	18	11	8
ENSSSCG00000000859	105	109	258	294	130	112	386	287	230	233	199	212
ENSSSCG00000000860	394	376	593	666	335	296	975	695	510	473	447	516
ENSSSCG00000000862	1278	1488	3012	3230	1527	1572	4955	4009	2850	2616	2838	2594
ENSSSCG00000000863	2	6	14	17	39	29	11	5	59	44	57	58
ENSSSCG00000000864	423	539	395	532	1339	1447	892	517	1821	1918	1716	1688
ENSSSCG00000000866	20070	20963	15	16	130807	174596	26	21	305269	280226	301512	258529
ENSSSCG00000000867	19	28	15	22	16	13	93	87	87	65	66	75
ENSSSCG00000000869	874	905	1306	1282	897	1038	1844	1567	2055	1574	1978	1574
ENSSSCG00000000870	2598	2670	4580	5168	2994	3229	6743	5386	4609	4794	4615	4619
ENSSSCG00000000871	8	14	31	29	1	4	58	30	47	25	45	41
ENSSSCG00000000873	17	7	31	20	2	8	31	3	14	9	30	6
ENSSSCG00000000874	567	511	1019	937	674	621	1268	1078	850	962	850	861
ENSSSCG00000000875	5	3	9	20	16	9	34	24	73	42	55	70
ENSSSCG00000000877	1251	1609	2811	2854	2720	2850	3882	3432	3655	3961	3666	3961
ENSSSCG00000000883	0	0	0	0	0	0	0	1	0	0	0	1
ENSSSCG00000000884	1169	1012	1486	1616	1334	1499	2745	2247	1949	1920	2119	1782
ENSSSCG00000000886	10429	11749	12002	10864	15559	13728	17098	12799	19344	18023	18216	17764
ENSSSCG00000000887	2028	2422	3787	3935	3597	3473	4444	3609	5079	4902	4691	5334
ENSSSCG00000000890	800	858	1567	1512	833	1010	2244	1798	1486	1503	1490	1562
ENSSSCG00000000891	2796	2973	3096	3124	3160	3535	4045	3332	3239	3373	3199	3217
ENSSSCG00000000892	3	8	16	10	18	19	51	37	61	43	65	43
ENSSSCG00000000893	12	16	12	17	19	10	121	74	31	30	16	19
ENSSSCG00000000894	3	4	13	3	6	6	36	18	34	44	38	40
ENSSSCG00000000895	1310	1464	1511	1476	1362	1249	2682	1649	1176	1586	1344	1422
ENSSSCG00000000896	233	347	762	523	502	501	1224	496	1666	1363	1310	1638
ENSSSCG00000000900	708	931	1093	1159	1396	1427	1893	1643	2043	2262	2008	2209
ENSSSCG00000000901	189	271	399	431	230	180	703	672	288	288	313	252
ENSSSCG00000000902	343	365	860	803	605	734	1213	1114	1146	1024	1070	1046
ENSSSCG00000000905	1613	1732	1826	1728	2383	2106	2818	2161	2987	2720	2460	3076
ENSSSCG00000000906	236	409	1065	1038	463	470	1059	926	459	464	445	536
ENSSSCG00000000907	262	146	607	654	197	268	1591	1189	884	837	919	850
ENSSSCG00000000908	3042	3375	4797	5052	4699	4109	6129	4926	4412	5065	4780	4725
ENSSSCG00000000910	60	91	144	112	104	112	284	211	219	213	197	187
ENSSSCG00000000915	60297	50580	168088	164574	67405	83439	232651	233960	84436	97055	90202	84521
ENSSSCG00000000916	29327	22850	148401	150310	28055	58838	149171	114205	28845	23626	18647	22487
ENSSSCG00000000917	5281	2975	12819	15345	2734	6813	4551	1434	5205	7283	7446	5129
ENSSSCG00000000918	676	13	46	6922	5	4	12	15	16	13	26	20
ENSSSCG00000000920	884	1105	956	925	1206	1093	1174	928	1132	1354	1151	1352
ENSSSCG00000000924	8	0	6	4	2	3	17	13	12	11	4	5
ENSSSCG00000000925	357	450	786	873	618	623	1245	1127	1358	1224	1295	1188
ENSSSCG00000000926	536	557	1306	1467	785	1084	2834	2367	2237	2428	2008	2428
ENSSSCG00000000927	516	474	1229	1353	753	918	1584	1172	1390	1496	1312	1502
ENSSSCG00000000932	22	13	27	22	1	4	24	12	19	10	15	10
ENSSSCG00000000934	39	64	107	104	118	82	145	102	133	196	141	185
ENSSSCG00000000936	143	199	490	476	81	46	138	11	46	83	89	44
ENSSSCG00000000937	948	1217	0	0	3213	2113	0	0	1528	2171	1982	1833
ENSSSCG00000000939	349	413	954	927	435	349	1345	1014	1107	1053	1184	1052
ENSSSCG00000000940	32	55	251	244	12	27	268	145	145	81	118	138
ENSSSCG00000000941	241	215	409	388	425	525	915	920	2425	1907	1948	2254
ENSSSCG00000000943	10	4	37	72	19	31	11	25	33	9	34	18
ENSSSCG00000000948	72	58	163	301	69	84	171	114	85	78	109	70
ENSSSCG00000000950	598	717	964	960	1036	927	1179	1084	791	884	1032	727
ENSSSCG00000000951	1531	1578	1574	1596	1347	1216	2930	1703	1834	1884	2041	1763
ENSSSCG00000000952	588	491	1594	1921	1211	1621	3136	3030	4016	3533	3821	3963
ENSSSCG00000000955	436	514	1172	1054	1050	987	1345	1181	784	1009	773	769
ENSSSCG00000000958	1600	1605	3150	3323	4708	4203	3977	3189	7505	6122	5883	6930
ENSSSCG00000000959	922	1093	2706	2619	1682	1723	2439	2712	2448	2083	2141	2344
ENSSSCG00000000960	0	0	0	1	0	0	0	4	1	0	1	1
ENSSSCG00000000963	0	0	0	0	0	0	6	4	0	0	1	0
ENSSSCG00000000964	1223	1258	3937	4248	2241	2305	5131	5828	2761	3336	2947	2975
ENSSSCG00000000965	789	968	1608	1417	1184	1064	2057	1907	1224	1488	1125	1416
ENSSSCG00000000967	1	0	7	4	0	0	3	0	2	3	1	0
ENSSSCG00000000968	1328	1655	5356	4616	3497	3226	5346	5766	4169	4626	4334	4023
ENSSSCG00000000970	545	669	1251	1472	2248	2229	2688	3066	4937	4913	4611	4620
ENSSSCG00000000971	27	35	200	148	127	200	472	551	518	465	527	502
ENSSSCG00000000972	465	397	1379	1267	1150	1039	1716	1907	2228	2108	2173	2035
ENSSSCG00000000973	228	195	747	742	546	483	639	730	554	674	533	522
ENSSSCG00000000974	187	238	644	587	747	616	665	617	564	768	567	601
ENSSSCG00000000975	24	17	64	57	35	13	14	16	4	11	5	5
ENSSSCG00000000978	1	0	10	2	0	0	1	16	1	7	1	0
ENSSSCG00000000980	169	179	717	655	365	404	614	752	669	708	572	669
ENSSSCG00000000981	396	397	869	923	448	380	944	797	320	393	334	333
ENSSSCG00000000982	0	0	2	0	152	96	0	0	10	53	45	12
ENSSSCG00000000983	4	19	23	19	31	21	95	141	43	71	53	38
ENSSSCG00000000985	1657	1897	2832	2841	3257	3296	6503	6353	7214	6474	7534	6331
ENSSSCG00000000991	0	1	31	13	0	0	4	0	0	0	0	0
ENSSSCG00000000994	776	827	2075	2236	827	659	2028	1996	488	530	484	584
ENSSSCG00000000997	7	5	22	20	42	42	11	6	39	41	26	50
ENSSSCG00000000998	392	455	502	609	645	610	1044	924	924	881	978	836
ENSSSCG00000000999	259	218	844	802	636	692	861	736	552	617	561	566
ENSSSCG00000001000	969	884	901	1005	1966	1783	2022	2043	2410	2199	2403	2172
ENSSSCG00000001001	74	88	126	132	212	204	216	200	210	265	223	252
ENSSSCG00000001002	1459	1534	2770	2607	1758	2044	4392	3725	5006	4282	4952	4250
ENSSSCG00000001004	162	210	445	319	807	751	366	207	690	982	731	919
ENSSSCG00000001005	0	0	0	0	0	0	0	0	0	1	0	0
ENSSSCG00000001008	917	1448	2331	2147	1669	1373	2079	1706	1734	1839	1873	1732
ENSSSCG00000001009	633	628	2081	1896	1036	1083	3598	3282	2114	2045	2167	2008
ENSSSCG00000001010	744	1046	2556	2573	1996	2066	2497	2579	2216	2674	2293	2412
ENSSSCG00000001011	382	473	926	755	345	269	1614	1392	403	436	403	390
ENSSSCG00000001021	209	233	909	690	643	706	632	487	738	903	790	640
ENSSSCG00000001022	8464	8034	14468	15422	10779	10374	15887	13505	13116	13689	14075	12959
ENSSSCG00000001024	705	712	1226	1245	1020	961	1710	1447	1758	1670	1780	1447
ENSSSCG00000001025	3031	7098	14422	7556	42	46	14348	2071	205	174	226	153
ENSSSCG00000001027	141	193	412	441	289	174	530	547	270	274	265	309
ENSSSCG00000001033	275	260	551	616	362	496	1329	1226	1069	964	1096	1014
ENSSSCG00000001036	64	148	790	531	4	3	868	43	40	28	19	28
ENSSSCG00000001038	1394	1673	2586	2379	1993	1585	3834	3402	2443	2712	2644	2320
ENSSSCG00000001040	0	1	3	0	0	0	0	0	1	0	0	5
ENSSSCG00000001041	707	741	1036	1014	977	919	1467	1170	1014	1138	1021	1089
ENSSSCG00000001042	10	3	19	6	3	5	28	37	10	27	24	14
ENSSSCG00000001045	53	58	147	154	52	47	189	111	92	127	157	81
ENSSSCG00000001048	0	0	0	0	3	0	0	0	0	0	0	0
ENSSSCG00000001049	638	756	978	871	1416	1582	1612	1593	2314	2316	2651	1835
ENSSSCG00000001052	367	558	1495	1188	514	571	2831	2139	601	614	625	633
ENSSSCG00000001053	632	648	732	772	865	749	1103	1005	838	913	943	927
ENSSSCG00000001056	665	726	1261	1374	884	903	1947	1618	1448	1495	1608	1600
ENSSSCG00000001060	0	1	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000001061	558	743	2861	2906	1052	1209	2459	2592	2548	2245	2534	2459
ENSSSCG00000001062	450	433	958	815	959	769	814	796	1008	1133	935	1134
ENSSSCG00000001063	387	384	1856	1760	683	486	3900	2572	1337	1036	1179	1156
ENSSSCG00000001064	1192	1188	446	473	3442	2869	779	639	5345	5430	5237	5183
ENSSSCG00000001065	76	72	307	267	137	173	318	304	602	463	473	498
ENSSSCG00000001067	7	12	3	11	4	4	9	0	4	29	13	9
ENSSSCG00000001068	3790	3830	346	437	11192	11676	293	359	11748	12115	10372	11797
ENSSSCG00000001070	1252	1161	3423	3896	2373	2945	2995	2872	2940	3388	3131	3232
ENSSSCG00000001072	10	21	45	69	92	87	57	52	75	104	82	80
ENSSSCG00000001073	300	333	348	347	243	266	614	401	246	236	267	263
ENSSSCG00000001074	831	830	782	846	1176	1758	1253	1026	1130	1314	1131	1091
ENSSSCG00000001075	4605	5416	9461	10314	7988	9185	13460	11844	10405	10301	8953	11061
ENSSSCG00000001076	407	617	1229	1294	716	1239	1021	792	2933	1665	1915	2635
ENSSSCG00000001078	322	707	1174	1115	390	379	1949	1769	553	547	613	541
ENSSSCG00000001080	489	516	705	735	616	660	1380	962	796	805	819	828
ENSSSCG00000001083	0	0	0	0	0	0	3	2	3	1	1	3
ENSSSCG00000001085	0	0	9	6	0	1	2	5	5	3	11	8
ENSSSCG00000001087	322	420	885	953	660	812	1966	1424	1772	1649	1567	1508
ENSSSCG00000001088	0	0	0	1	0	0	0	0	3	1	3	3
ENSSSCG00000001089	15	5	55	52	32	29	145	136	170	143	157	154
ENSSSCG00000001090	264	207	505	568	561	625	1147	1121	1421	1334	1573	1370
ENSSSCG00000001091	45	18	55	46	42	21	79	37	45	53	41	41
ENSSSCG00000001092	523	601	876	1019	942	1058	1614	1518	1183	1345	1189	1171
ENSSSCG00000001095	679	843	999	1026	643	637	1697	1316	862	915	746	877
ENSSSCG00000001096	0	0	0	0	0	1	0	0	1	2	0	0
ENSSSCG00000001097	528	639	651	479	741	1109	983	1250	2100	1577	1567	1968
ENSSSCG00000001098	7	3	10	9	2	10	10	8	14	16	12	20
ENSSSCG00000001099	4	1	7	15	9	12	120	96	119	62	89	96
ENSSSCG00000001100	131	168	419	546	38	56	693	353	112	155	200	112
ENSSSCG00000001101	0	0	2	4	0	0	6	1	0	0	0	0
ENSSSCG00000001105	0	0	0	0	0	0	0	0	0	1	1	0
ENSSSCG00000001107	8	13	56	27	38	66	125	75	254	220	210	224
ENSSSCG00000001131	6	6	19	9	6	20	66	45	23	26	37	29
ENSSSCG00000001132	0	0	3	4	0	0	0	1	2	0	0	0
ENSSSCG00000001137	309	328	468	616	543	557	1481	1592	1438	1299	1255	1434
ENSSSCG00000001156	1096	1132	2027	2112	1701	1639	3704	3064	2301	2444	2215	2325
ENSSSCG00000001164	248	297	622	639	470	596	1343	1053	1001	1108	1065	1048
ENSSSCG00000001201	341	581	1277	1466	1123	1252	1900	1775	3153	2982	3161	2748
ENSSSCG00000001202	41	52	133	158	91	134	284	318	356	336	347	305
ENSSSCG00000001203	48	63	253	272	98	103	286	150	134	250	198	237
ENSSSCG00000001204	116	167	354	300	156	175	395	344	203	220	198	183
ENSSSCG00000001205	22	32	90	88	44	38	64	32	50	52	55	47
ENSSSCG00000001206	154	242	496	526	326	321	680	585	419	449	422	438
ENSSSCG00000001207	398	390	809	813	505	522	1030	851	834	768	776	769
ENSSSCG00000001209	470	484	1054	1190	713	976	2382	1940	1508	1417	1515	1513
ENSSSCG00000001211	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000001213	1	0	2	1	0	0	0	0	5	1	2	1
ENSSSCG00000001214	0	0	0	1	0	0	0	0	1	0	1	0
ENSSSCG00000001216	224	208	582	732	188	216	662	566	305	350	276	283
ENSSSCG00000001219	867	977	1818	1627	1402	1259	2448	2050	1938	2049	2013	1885
ENSSSCG00000001229	268	238	867	733	433	560	1527	1961	1768	1745	1542	1701
ENSSSCG00000001232	7	3	8	7	4	1	6	8	2	10	9	5
ENSSSCG00000001233	141	90	379	291	196	225	590	445	330	319	366	270
ENSSSCG00000001234	3	3	12	16	6	9	32	76	22	19	19	7
ENSSSCG00000001235	0	0	2	2	1	0	1	4	0	1	0	0
ENSSSCG00000001236	12	5	4	9	16	5	49	55	244	171	227	199
ENSSSCG00000001242	219	300	1080	1285	513	643	2087	2137	2421	2252	2647	2071
ENSSSCG00000001245	286	363	601	523	429	387	824	700	419	492	436	510
ENSSSCG00000001247	27	26	72	67	80	69	122	171	211	183	223	242
ENSSSCG00000001248	0	16	12	35	4	33	58	33	118	99	100	75
ENSSSCG00000001252	0	2	0	0	0	2	0	24	9	10	14	11
ENSSSCG00000001253	0	0	0	0	0	0	0	0	2	0	0	0
ENSSSCG00000001254	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000001256	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000001297	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000001304	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000001341	1688	1918	4595	4222	2344	2658	9676	10085	5455	5208	5205	5431
ENSSSCG00000001342	114	132	335	268	213	212	580	512	342	373	385	347
ENSSSCG00000001346	2857	2559	4136	3949	3826	3527	5229	4670	3683	4343	4138	3712
ENSSSCG00000001347	1050	1240	2270	2394	1805	1702	2968	2886	2140	2297	2566	2177
ENSSSCG00000001362	2179	2283	4788	4349	3380	3370	5146	4861	5581	5363	6282	5060
ENSSSCG00000001372	1568	1372	3029	3127	2083	2060	3708	3102	1727	2314	2167	1880
ENSSSCG00000001376	375	418	942	879	714	831	1507	1329	1212	1229	1267	1178
ENSSSCG00000001379	71612	79010	98452	92972	61993	47104	100825	80556	32295	42244	41677	33729
ENSSSCG00000001382	2511	3805	7859	6247	4632	5049	4399	3040	4136	5881	5005	4568
ENSSSCG00000001384	210	207	604	583	452	419	1231	1383	1227	1090	1189	1265
ENSSSCG00000001388	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000001391	122	164	443	444	339	316	979	1062	669	697	712	658
ENSSSCG00000001392	503	611	1241	1275	752	649	1863	1680	716	801	707	802
ENSSSCG00000001393	4	5	5	7	10	2	6	9	8	4	12	1
ENSSSCG00000001394	219	256	747	803	343	393	1557	1404	470	469	485	458
ENSSSCG00000001395	0	4	3	0	0	8	19	19	40	13	32	46
ENSSSCG00000001396	286	347	857	834	398	445	1374	1345	772	730	741	752
ENSSSCG00000001398	63	76	193	156	175	188	764	735	513	434	498	480
ENSSSCG00000001400	5673	7268	8442	8851	8324	8153	19707	18288	23568	20749	23228	22317
ENSSSCG00000001401	62	73	271	277	49	68	303	341	69	94	78	73
ENSSSCG00000001402	276	300	700	663	790	781	784	737	663	812	581	683
ENSSSCG00000001403	0	4	5	5	7	2	20	41	6	16	11	10
ENSSSCG00000001407	0	0	0	0	0	0	1	1	1	0	0	1
ENSSSCG00000001409	6538	7039	17441	16145	12979	12222	16174	15366	13690	15411	16469	14154
ENSSSCG00000001410	3920	4351	8810	7829	7477	7408	9070	8062	6888	8638	7833	7464
ENSSSCG00000001411	6	2	0	9	14	23	62	53	215	127	140	201
ENSSSCG00000001413	395	556	767	759	755	896	1582	1405	1227	1242	1136	1260
