181-0991-1_LHL_S1_L001	181-0991-3_LHL_S2_L001	SKM_0923-1_RHL_S5_L001	SKM_0923-3_RHL_S6_L001	WT62_0987-3_RHL_S9_L001	WT62_0987-4_RHL_S10_L001	212-4281_E62SKM_RHL_Emb1_S1	212-4281_E62SKM_RHL_Emb4_S2	6132-1_Right_Gastroc_S15	6132-2_Left_Sol_S16	6132-3_Left_Sol_S17	6132-3_Right_Gastroc_S18
ENSSSCG00000000500	210	235	249	238	457	441	487	570	1548	1096	1167	1420
ENSSSCG00000000502	2027	2133	3740	3984	2795	2757	5084	4417	3986	4032	4073	3988
ENSSSCG00000000504	496	522	1212	1036	870	1085	2456	2825	4482	3112	3999	3432
ENSSSCG00000000509	493	473	1155	1198	982	1137	2549	2443	5064	4947	5084	4988
ENSSSCG00000000510	479	462	1097	1190	597	647	1681	1338	890	1018	1005	924
ENSSSCG00000000512	794	843	1833	2165	1160	1252	2696	2169	1969	2021	1831	2113
ENSSSCG00000000515	36	60	326	392	30	7	439	645	13	70	60	25
ENSSSCG00000000516	65	74	327	447	29	126	575	282	84	196	181	95
ENSSSCG00000000517	22	28	87	105	28	36	133	94	61	90	82	46
ENSSSCG00000000519	10	15	54	59	34	20	144	168	108	154	156	118
ENSSSCG00000000522	18137	20573	23971	24638	17068	18966	38872	31171	18529	20208	17737	18990
ENSSSCG00000000523	92	94	301	250	132	146	353	321	478	433	431	441
ENSSSCG00000000527	7	1	16	16	12	13	30	37	13	6	20	19
ENSSSCG00000000528	324	684	1118	866	103	202	463	42	123	103	106	107
ENSSSCG00000000530	122	155	193	136	337	412	244	261	932	669	707	808
ENSSSCG00000000531	121	157	156	148	171	204	225	231	423	478	527	394
ENSSSCG00000000534	1555	1450	2525	2449	2005	2078	3593	2836	3141	3163	3028	3258
ENSSSCG00000000536	1597	1705	3053	3122	2513	2504	4822	4098	3314	3814	3402	3535
ENSSSCG00000000540	0	0	0	1	0	1	11	6	5	9	3	12
ENSSSCG00000000541	391	558	622	653	1789	1199	1322	1192	834	1865	1694	832
ENSSSCG00000000545	362	432	918	1071	464	548	1222	1033	700	661	691	583
ENSSSCG00000000547	545	581	714	824	740	835	1459	1091	1123	1124	1040	1087
ENSSSCG00000000549	2383	2414	5133	5265	3363	4010	5777	5402	6586	5095	5417	5642
ENSSSCG00000000550	0	0	0	1	0	0	0	0	0	1	0	0
ENSSSCG00000000551	92	104	638	470	80	115	439	457	262	225	246	259
ENSSSCG00000000553	313	343	1026	1053	618	640	1371	1154	1124	1289	1245	1121
ENSSSCG00000000554	308	282	754	810	473	538	932	872	1111	1071	1038	1269
